,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Cotton, Feed, Farm & Home, Vegetable Plants, Herbs & Flowers,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Gardening Supplies, Clothing,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Garden Supplies, Plants,,,,,,,,,,,,,,,,,,,,,,,
Feed, Farm and Home, Garden Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Products,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Garden Supplies, Animal Health, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Ginning and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Feed, Petroleum, Tires, Hardware, Garden Center,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Storage,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Storage, Drying,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Wheat, Feed, Seed, Fencing,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Seed, Fertilizer, Crop Protectants, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Petroleum, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Feed, Fertilizer, Seed, Chemicals, Crop Insurance, Lumber, Custom Fertilizer Application, Feed Manufacturing and Pelleting,,,,,,,,,,,,,,,,,
Seed, Plant Food, Crop Protection Products, Gasoline, Distillates, Other Energy Products, Propane, Heating Oil, Buildings and Grain Systems, Feed, Grain, Tires,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Feed, Seed, Fertilizer, Farm Supplies,,,,,,,,,,,,,,,,,,,,,
Grain, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Grain (Corn, Soybeans, Wheat),,,,,,,,,,,,,,,,,,,,,,,,,,
Hogs, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Feed,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Soft Red Winter Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Seed, Feed, Livestock Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Beans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Ag Chemicals, Seed, Feed,,,,,,,,,,,,,,,,,,,,,,,,,
Soybeans, Corn, Wheat, Barley, Rye, Oats,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Petroleum, Lumber, Seed,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Anhydrous Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum, Feed, Fertilizer, Ag Chemicals, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,
Chemicals, Fertilizer, Petroleum, LP Gas, Grease, Oil, Spraying Services,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Ice Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Seed, Fertilizer, Chemicals, Petroleum, Application Services, Crop Advisory Services,,,,,,,,,,,,,,,,,,,,
Corn, Beans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Grain Storage,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Corn, Wheat, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Seed, Fuel, Tires, LP Gas, Feed,,,,,,,,,,,,,,,,,,,,,,
Fuel, LP Gas, Seed, Feed, Plant Food, Livestock Equipment, Fencing, LP Gas Tanks and Equipment, Orchard and Grape Supplies and Equipment, Chemicals,,,,,,,,,,,,,,,,,,,
 Fuel, LP Gas, Seed, Feed, Plant Food, Livestock Equipment, Fencing, LP Gas Tanks and Equipment, Orchard and Grape Supplies and Equipment, Chemicals,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings, Grain Bins, Tire Store, Service Truck, Convenience Store, Refined Fuels and Related Petroleum Products, Agronomy Products, LP Gas, Parts,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Seed, Feed, Fertilizer, Lumber and Building Materials,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Milo, Feed, Fertilizer, Chemicals, Fertilizer Application, Chemical Application, Lumberyard, Trucking ,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, and Feed,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline, Diesel, Propane,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Petroleum, Feed, Fertilizer, Farm Supplies, Crop Inputs, LP Gas,,,,,,,,,,,,,,,,,,,
Petroleum, Propane, Fertilizers, Agricultural Chemicals, Seed, Fertilizer and Chemical Application Services,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Petroleum, Chemicals, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Beans, Oats, Feed, Farm Supplies, Feed Manufacturing,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Ag Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, fertilizer, seed, chemicals, other,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, LP, Fertilizer, Chemicals, Feed, Hardware, Clothing,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Seed, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Petroleum, Fertilizer, Agricultural Chemicals, Fertilizer Application, Consulting Services,,,,,,,,,,,,,,,,,,,,,
Grain, Livestock, Feed, Seed, Fertilizer, Crop Protectants, Petroleum,,,,,,,,,,,,,,,,,,,,,,
Raw Milk-Grade A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, livestock, feed, fertilizer, ag chemicals, seeds, petroleum, and general ag supplies,,,,,,,,,,,,,,,,,,,,,
Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Fertilizer, Fuel, Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Milo, Corn, Soybeans, Oats, Feed, Seed, Fertilizer, Agricultural Chemicals, Farm Supplies,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Feed, Chemicals, Petroleum, Feed Manufacturing, Seed, Tires, Batteries, Tire Repair, Service Autos,,,,,,,,,,,,,,,
Grain, Grain Storage, Fertilizer, Chemicals, Feed, Seed, Petroleum, Tires, Batteries, and Auto Accessories, Fertilizer Application,,,,,,,,,,,,,,,,,,
Ag Grains, Feed, Fuel, Fertilizer, Seed,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Sunflowers, Seed, Bagged Feed,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Feed Manufacturing, Fertilizer Application, and Consulting Services,,,,,,,,,,,,,,,,
Feed, Fencing, Animal Health,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Petroleum, Feed, Fertilizer, Ag chemicals, Tires, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,
Fuels, Fertilizer, Chemical, Seed, Hardware, C-Store,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Petroleum, Feed, Seed, Fertilizer, Ag Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Sunflowers, Petroleum, Feed, Fertilizer, Ag Chemicals, Tires, Fertilizer Services,,,,,,,,,,,,,,,,,,
Corn, Milo, Wheat, Soybeans, Oats, Sunflowers, Feed, Feed By-Products, Chemicals, Fertilizer, Fertilizer Application,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybean, Feed, Animal Health, Fertilizer, Farm Chemicals, Fuel, Tires, Oil, Fertilizer Application, Commodity Marketing, Services, Hardware, Seed,,,,,,,,,,,,,
Corn, Wheat, Milo, Feed, Fertilizer, Ag Chemicals, Seed, Petroleum, Ag Chemical and Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Wheat Flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Fertilizer Application, Petroleum, Feed, Fertilizer, Chemical Application, Ag Chemicals, Feed Manufacturing,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Farm Supply, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Fertilizer, Chemicals, Petroleum, Seed, Application, Feed,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Fertilizer, Ag Chemicals, Seed, Petroleum, Feed, Tires, Feed Manufacturing, Fertilizer/Chemical Application, Farm Supplies,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Wheat, Milo, Soybeans, Petroleum, Feed, Fertilizer, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Fuel, Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Milo, Corn, Soybeans, Oats, Petroleum, Feed, Fertilizer, Ag Chemicals, Tires,  Farm Supplies, Service,,,,,,,,,,,,,,,,,
Wheat, Milo, Corn, Soybeans, Feed, Fertilizer, Ag Chemicals, Custom Application, Oil, Grease, Tires, Farm Supplies,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Petroleum, Feed, Fertilizer, Tires, Farm Supplies,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Fertilizer, Seed, Fuel, Propane, Chemicals, Farm Supplies,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Petroleum, Feed, Fertilizer, Chemicals, Tires, ,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application, Consulting Services,,,,,,,,,,,,,,,,,
Fuel, Feed, Seed, Farm Supply, Animal Health, Fertilizer, Fertilizer Application, Farm Chemicals,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Feed, Seed, Farm Supply, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Sunflowers, Milo, Soybeans, Petroleum, Fertilizer, Chemicals, Tires, Feed, Animal Health, Custom Application,,,,,,,,,,,,,,,,,
Grain, Seed, Chemicals, Fertilizer, Fuel, Feed, Oil, Merchandise ,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Chemical, Feed, Petroleum Products, Tires & Batteries, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Chemicals, Custom Application, Seed, Fuel, Fuel Delivery, Farm Supplies, and Seed Cleaning,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Diesel Fuel, NH3, Liquid Fertilizer, Car Care Center,,,,,,,,,,,,,,,,,,,,,
Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Ginning and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Feed, Seed, Fertilizer, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Grain, Seed, Fertilizer, Crop Protectants, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,
Grain, farm supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Fertilizer, Chemical, Fuel,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Agronomy, Fuel, Feed,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Oats, Soybeans, Feed, Petroleum,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Sorghum, Crop Inputs, Fertilizer, Agricultural Chemicals, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Chemicals, Farm Supplies, Fuels, Fertilizer, Propane,,,,,,,,,,,,,,,,,,,,,
Crop Consulting, Laboratory Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Sunflowers,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Milo, Corn, Soybeans, Sunflowers, Feed, Seed, Chemicals, Fertilizer, Petroleum, Sporting Goods, Tires and Batteries, etc. ,,,,,,,,,,,,,,,,
Unleaded, Ethanol, Red (Farm) Diesel, Clear (Highway) Diesel, Propane, Grease, Oil, Bulk Oil, Parts for Fuel Tanks, Parts for Propane Tanks, Lines, Bulk Fuel, Fuel Delivery,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Sunflower, Petroleum, Feed, Fertilizer, Ag Chemicals, Fertilizer and Chemical Applications,,,,,,,,,,,,,,,,,,,,
 Grain, Fuel, Fertilizer, Feed Mill, Service Stations,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Seed, Refined Fuel, Propane, Feed, Farm Supply, Soybeans, Corn, Wheat, Milo,,,,,,,,,,,,,,,,,,
Grain, Feed, Fetilizer, Chemicals, Pertroleum, Custom Application, Farm Supply, Fuel, Trucking,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Feed Manufacturing, Fertilizer Application, Trucking,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Agricultural Chemicals, Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Ag Chemicals, Farm Supplies, Sporting Goods, Hardware,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawfish--Live and Peeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Seed, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Feed, Fertilizer, Agricultural Chemicals, Tires, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,
Raw Sugar and Blackstrap Molasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton, cotton seed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Cane Sugar, Black Strap Molasses ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemicals, Farm Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh and Frozen Blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware, TBA, Feed, Seed, Chemicals, Fertilizer, Fuel, Rice Drier,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,,
Rice Drier,  Ag Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Drier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Fruit, Processed Fruit, Juice,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetables--Locally Grown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Raw Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabmeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobsters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm & Garden, Hardware, Feed, Grains, Pet Foods, Fertilizers, Tools, Seed,,,,,,,,,,,,,,,,,,,,,
Potatoes, Produce,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes, Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster, Shrimp, Clams, Scallops and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Live Lobster and Crabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster and Crabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobsters, Crabs, Fuel, Gasoline, Marine Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Lobsters, and Diesel and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Red Wheat, Feed, Fertilizer, Ag Chemicals, Application Services,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Feed, Fertilizer, Agricultural Chemicals, Feed Manufacturing, Fertilizer Application, Consulting Services,,,,,,,,,,,,,,,,,,,
Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semen, A.I. Services, Ag Products, and DHI testing,,,,,,,,,,,,,,,,,,,,,,,,,
Cherries, Blueberries, Apple Juice and Applesauce,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Barley, Dry Beans, Petroleum, Feed, Seed, Fertilizer, Ag Chemicals, Tires, Fertilizer Application, Services,,,,,,,,,,,,,,,
Feed, Chemicals, Seed, Farm Supplies, Propane, Tires, Fuel Oils, Gasoline, Fencing, Corn, Soybeans, Oats, Fertilizer,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Custom Application,,,,,,,,,,,,,,,,,,,,
Grain, feed, seed, fertilizer, chemicals, petroleum, farm supplies,,,,,,,,,,,,,,,,,,,,,,
Tart Cherries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit Juices, Apple Sauce, Asparagus,,,,,,,,,,,,,,,,,,,,,,,,,,
Wholesale Distributor of Bedding Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries, Cranberries, Blackberries,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples, Asparagus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh and Prepared Celery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey, Turkey Products,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Feed, Fertilizer, Chemicals, Petroleum, Custom Application, Roasted Grain,,,,,,,,,,,,,,,,,,,
Grain, Feed, Chemicals, Fertilizer, Storage, Drying, Corn, Soybeans, Wheat, Rye, Oats,,,,,,,,,,,,,,,,,,
Apples, Blueberries, Blackberries, Raspberries, Snap Peas,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Feed, Farm Supplies, Seed, Custom Application, Grain,,,,,,,,,,,,,,,,,,,,,,
Retail Grocery and Ace Hardware ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas, Field Oil, LP, Feed, Grain, Fertilizer, Seed, Chemicals, Beer, Groceries, Cigarettes, Chicken, Lottery, Hardware,,,,,,,,,,,,,,,
Crop Protection Chemicals, Fertilizers, Greenhouse Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Chemicals, Fertilizer, Custom Fertilizer Application, Grains, Corn, Soybeans, Oats, Wheat, Corn Distillers, Soy Hulls, Canola Meal, Bird Seed, Dog Feed, Cat Food, Corn Seed, Weed Control, Food Plots, Grass Seed, Horse Feed, Dairy Feed,,,,,,,
Petroleum, Tires, Service Station,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petro, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Chemicals, Petroleum Products, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed, Fertilizer, Chemicals, Seed,,,,,,,,,,,,,,,,,,,,,,
Beet Sugar and Related By-Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Barley, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, LP, Agronomy, Service Station,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Milk Products,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Feed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Chemicals, LP Gas, Gasoline, Diesel,,,,,,,,,,,,,,,,,,,,,,,
Bagged Feed, Bagged Fertilizer, Petroleum, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese-Natural and Process Cheese, Whey Protein, Deproteinized Whey,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Insurance, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Crop Protectants, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Chemicals, Petroleum, Tires, Trucking,,,,,,,,,,,,,,,,,,,,,,
Ag Products and Energy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Soy Products, Feed, Refined Fuels, Lubricants, Propane, Transportation, Food, Crop Nutrient Products, Animal Nutrition, Business Services,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Twine, Oil,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Auto Supplies, Services, Tires, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Groceries, Hardware, Farm Supplies, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, LP Gas, Tires, Batteries, Anhydrous Ammonia, Automotive Accessories,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Fertilizer, Ag Chemicals, Seed, Propane, Petroleum, Lube Oils, Feed Manufacturing, Agronomy Custom Application Services, Trucking, Consulting Services,,,,,,,,,,,,,,,,
Grains, Fertilizer, Fuel, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Agricultural Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Cheese, Ice Cream, Seed, Feed, Fertilizer, Dairy Products,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Crop Protectants,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Cheese, Ice Cream, Petroleum, Feed, Fertilizer, and Seed,,,,,,,,,,,,,,,,,,,,,,
Soybeans, Corn, Spring Wheat, Winter Wheat, Oats, Barley, Rye,,,,,,,,,,,,,,,,,,,,,,
Soybeans, Oats, Petroleum, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Ag Chemicals, Feed, Petroleum, Fertilizer, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Groceries,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Feed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Feed, Fertilizer, Seed, Petroleum, Chemicals,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Feed, Seed,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
